,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,
,AST%,0.373266246,32.38195876,13.85542531,133.7132064,0,A,,AST%,0.387778779,8.566628959,13.85542531,-38.17130282,1,D,,AST%,0.42048376,10.34558233,13.85542531,-25.3319036,2,D,,AST%,0.39657536,13.63693086,13.85542531,-1.576959551,3,C,
,DWS,0.343332991,1.497938144,1.70095042,-11.93522592,0,C,,PTS/36,0.375611226,13.98915261,14.11450299,-0.8880963,1,C,,AST/36,0.39611195,2.294229712,3.042382647,-24.59102033,2,D,,AST/36,0.374778759,2.980426129,3.042382647,-2.036447253,3,C,
,AST/36,0.326445803,7.151871099,3.042382647,135.0746743,0,A,,AST/36,0.358771649,1.847251714,3.042382647,-39.2827291,1,D,,DWS,0.324015495,1.567670683,1.70095042,-7.835603877,2,C,,TRB%,0.337579867,6.940725126,10.20684302,-31.99929585,3,D,
,TRB%,0.312977387,5.404295533,10.20684302,-47.0522323,0,D,,USG%,0.33643232,18.8928733,19.22124188,-1.70836297,1,C,,TRB%,0.308014656,9.265963855,10.20684302,-9.218121263,2,C,,DWS,0.303843709,1.55,1.70095042,-8.874475,3,C,
,PTS/36,0.299895687,14.3597479,14.11450299,1.737538406,0,C,,DWS,0.330769818,1.957692308,1.70095042,15.09402537,1,C,,USG%,0.305140263,18.65100402,19.22124188,-2.966706674,2,C,,DBPM,0.280558124,-0.641905565,-0.038064312,-1586.371132,3,F,
,USG%,0.279954483,20.65876289,19.22124188,7.478814395,0,C,,PPS_24-27 Three,0.198832695,0.426477289,0.77426968,-44.91876667,1,D,,PTS/36,0.293572045,13.85413882,14.11450299,-1.844657029,2,C,,USG%,0.268693662,19.80033727,19.22124188,3.012788611,3,C,
,DBPM,0.264332847,-1.461340206,-0.038064312,-3739.134716,0,F,,TS%,0.195779798,0.53484276,0.530298749,0.856877671,1,C,,FTr,0.258158526,0.256828313,0.299567242,-14.26689001,2,C,,FTr,0.267311783,0.245180438,0.299567242,-18.15512382,3,C,
,TS%,0.249237568,0.519333333,0.530298749,-2.06778072,0,C,,PPS_00-02 At Rim,0.195329734,1.261661053,1.216406061,3.720385217,1,C,,DBPM,0.232873647,-0.130522088,-0.038064312,-242.898853,2,F,,STL%,0.25575281,1.745784148,1.629748139,7.119873732,3,C,
,PPS_00-02 At Rim,0.240381881,1.114212834,1.216406061,-8.401242868,0,C,,TRB%,0.182525016,14.75565611,10.20684302,44.56630788,1,B,,STL%,0.21074402,1.601104418,1.629748139,-1.757555073,2,C,,PTS/36,0.22451522,14.79488144,14.11450299,4.820420856,3,C,
,FTr,0.19942646,0.265702749,0.299567242,-11.30447135,0,C,,DBPM,0.176809664,0.77918552,-0.038064312,2147.023799,1,A,,TOV%,0.164284672,12.06586345,13.61544432,-11.38105251,2,C,,BLK%,0.201946554,0.805564924,1.654704578,-51.31669212,3,D,
,STL%,0.162105128,2.172164948,1.629748139,33.28224753,0,B,,3PAr,0.168306534,0.043718326,0.221236179,-80.23907033,1,F,,TS%,0.132203355,0.527171687,0.530298749,-0.589679285,2,C,,TOV%,0.182637493,11.93954469,13.61544432,-12.30881339,3,C,
,PPS_13-17 Mid Range,0.152364208,0.786568418,0.748227461,5.124238261,0,C,,PPS_03-08 Near Rim,0.15884963,0.778065369,0.733604761,6.060567081,1,C,,BLK%,0.101218805,1.226104418,1.654704578,-25.90191421,2,D,,PPS_03-08 Near Rim,0.083142494,0.702920489,0.733604761,-4.18267071,3,C,
,PPS_03-08 Near Rim,0.146074091,0.712537805,0.733604761,-2.871703835,0,C,,PPS_18-23 Long Jumper,0.147389586,0.691040078,0.720291872,-4.061102801,1,C,,PPS_09-12 Short Range,0.060191709,0.693933249,0.714600618,-2.892156659,2,C,,PPS_00-02 At Rim,0.074192679,1.207710497,1.216406061,-0.714857069,3,C,
,BLK%,0.133658533,0.413745704,1.654704578,-74.99579623,0,F,,PPS_13-17 Mid Range,0.139688613,0.743633273,0.748227461,-0.61400947,1,C,,PPS_03-08 Near Rim,0.054762191,0.722917657,0.733604761,-1.456793135,2,C,,TS%,0.030651468,0.530813659,0.530298749,0.097098239,3,C,
,PPS_18-23 Long Jumper,0.103134985,0.782144135,0.720291872,8.587111135,0,C,,PPS_09-12 Short Range,0.132976477,0.707955203,0.714600618,-0.929948107,1,C,,PPS_00-02 At Rim,0.050123836,1.238827492,1.216406061,1.843252138,2,C,,PPS_09-12 Short Range,0.012613558,0.730560132,0.714600618,2.233347315,3,C,
,PPS_09-12 Short Range,0.08706875,0.761268334,0.714600618,6.530601074,0,C,,PPS_28-34 Deep,0.111206919,0.128480532,0.346365561,-62.90608942,1,D,,PPS_18-23 Long Jumper,0.04494142,0.753041574,0.720291872,4.546726651,2,C,,PPS_28-34 Deep,-0.018730895,0.499420383,0.346365561,44.18881066,3,B,
,PPS_24-27 Three,0.055799329,1.026940336,0.77426968,32.63341736,0,B,,BLK%,0.077078536,2.434219457,1.654704578,47.10900602,1,B,,PPS_13-17 Mid Range,0.038932843,0.740213346,0.748227461,-1.071080024,2,C,,PPS_13-17 Mid Range,-0.029096614,0.764027638,0.748227461,2.111681073,3,C,
,PPS_28-34 Deep,0.004215526,0.533914362,0.346365561,54.14764695,0,B,,STL%,0.07075413,1.407239819,1.629748139,-13.65292676,1,C,,PPS_28-34 Deep,0.005543338,0.436119877,0.346365561,25.91317541,2,B,,PPS_18-23 Long Jumper,-0.046715776,0.779880787,0.720291872,8.27288463,3,C,
,TOV%,-0.07218709,17.01151203,13.61544432,24.94276078,0,B,,FTr,-0.091521203,0.357364253,0.299567242,19.29350178,1,C,,PPS_24-27 Three,-0.031602549,0.963099393,0.77426968,24.38810634,2,B,,PPS_24-27 Three,-0.079736542,1.037616654,0.77426968,34.0123062,3,B,
