index,cluster,formatname,Year
0,0,CoryAlexander,1997
1,0,KennyAnderson,1997
2,0,GregAnthony,1997
3,0,DarrellArmstrong,1997
4,0,TravisBest,1997
5,0,MuggsyBogues,1997
6,0,SamCassell,1997
7,0,ChrisChilds,1997
8,0,JohnCrotty,1997
9,0,ShermanDouglas,1997
10,0,TyusEdney,1997
11,0,HowardEisley,1997
12,0,AnthonyGoldwire,1997
13,0,TimHardaway,1997
14,0,DerekHarper,1997
15,0,BobbyHurley,1997
16,0,AllenIverson,1997
17,0,MarkJackson,1997
18,0,AveryJohnson,1997
19,0,KevinJohnson,1997
20,0,JasonKidd,1997
21,0,MattMaloney,1997
22,0,StephonMarbury,1997
23,0,DarrickMartin,1997
24,0,LeeMayberry,1997
25,0,SteveNash,1997
26,0,DougOverton,1997
27,0,RobertPack,1997
28,0,GaryPayton,1997
29,0,ElliotPerry,1997
30,0,TerryPorter,1997
31,0,MarkPrice,1997
32,0,KhalidReeves,1997
33,0,PoohRichardson,1997
34,0,KennySmith,1997
35,0,EricSnow,1997
36,0,JohnStockton,1997
37,0,DamonStoudamire,1997
38,0,RodStrickland,1997
39,0,BrooksThompson,1997
40,0,DavidWesley,1997
41,0,ChrisWhitney,1997
42,0,KennyAnderson,1998
43,0,GregAnthony,1998
44,0,DanaBarros,1998
45,0,JonBarry,1998
46,0,TravisBest,1998
47,0,ChaunceyBillups,1998
48,0,MookieBlaylock,1998
49,0,MuggsyBogues,1998
50,0,TerrellBrandon,1998
51,0,RickBrunson,1998
52,0,SamCassell,1998
53,0,AntonioDaniels,1998
54,0,TerryDehere,1998
55,0,ShermanDouglas,1998
56,0,JoeDumars,1998
57,0,TyusEdney,1998
58,0,HowardEisley,1998
59,0,DerekFisher,1998
60,0,AnthonyGoldwire,1998
61,0,TimHardaway,1998
62,0,DerekHarper,1998
63,0,BobbyHurley,1998
64,0,AllenIverson,1998
65,0,MarkJackson,1998
66,0,AveryJohnson,1998
67,0,BrevinKnight,1998
68,0,StephonMarbury,1998
69,0,DarrickMartin,1998
70,0,LeeMayberry,1998
71,0,EricMurdock,1998
72,0,GaryPayton,1998
73,0,ElliotPerry,1998
74,0,BrentPrice,1998
75,0,MarkPrice,1998
76,0,RodrickRhodes,1998
77,0,PoohRichardson,1998
78,0,EricSnow,1998
79,0,JohnStockton,1998
80,0,DamonStoudamire,1998
81,0,RodStrickland,1998
82,0,BobSura,1998
