"primaryKey","teamId","gameId","gameDate","matchup","result","wins","losses","winPercentage","minutes","fieldGoalsMade","fieldGoalAttempts","fieldGoalPercentage","threePointFieldGoalsMade","threePointFieldGoalAttempts","threePointFieldGoalPercentage","freeThrowsMade","freeThrowAttempts","freeThrowPercentage","offensiveRebounds","defensiveRebounds","totalRebounds","assists","steals","blocks","turnovers","personalFouls","points","season","dt"
"1610612737_0021700009","1610612737","0021700009","OCT 18, 2017","ATL @ DAL","W","1","0","1.0","240.0","48","94","0.511","9","18","0.5","12","14","0.8","14","36","50","20","11","6","13","18","117","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700017","1610612737","0021700017","OCT 20, 2017","ATL @ CHA","L","1","1","0.5","240.0","36","95","0.379","7","30","0.233","12","6","0.857","6","32","38","19","11","4","13","29","91","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700038","1610612737","0021700038","OCT 22, 2017","ATL @ BKN","L","1","2","0.333","240.0","32","94","0.34","7","27","0.259","33","16","0.917","16","32","48","21","6","2","16","25","104","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700042","1610612737","0021700042","OCT 23, 2017","ATL @ MIA","L","1","3","0.25","240.0","36","76","0.474","7","17","0.412","14","6","0.778","6","35","41","14","9","1","20","17","93","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700065","1610612737","0021700065","OCT 26, 2017","ATL @ CHI","L","1","4","0.2","240.0","32","81","0.395","11","28","0.393","11","7","0.846","7","33","40","22","10","5","10","23","86","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700072","1610612737","0021700072","OCT 27, 2017","ATL vs. DEN","L","1","5","0.167","240.0","37","89","0.416","14","33","0.424","12","11","1.0","11","32","43","23","7","4","12","21","100","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700085","1610612737","0021700085","OCT 29, 2017","ATL vs. MIL","L","1","6","0.143","240.0","36","77","0.468","13","29","0.448","21","3","0.808","3","28","31","27","9","2","16","21","106","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700107","1610612737","0021700107","NOV 01, 2017","ATL @ PHI","L","1","7","0.125","240.0","41","94","0.436","8","23","0.348","19","12","0.704","12","37","49","22","11","4","18","28","109","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700123","1610612737","0021700123","NOV 03, 2017","ATL vs. HOU","L","1","8","0.111","240.0","39","81","0.481","11","33","0.333","15","5","0.833","5","36","41","16","8","8","18","16","104","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700136","1610612737","0021700136","NOV 05, 2017","ATL @ CLE","W","2","8","0.2","240.0","41","86","0.477","11","25","0.44","24","11","0.706","11","33","44","24","4","6","17","20","117","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700146","1610612737","0021700146","NOV 06, 2017","ATL vs. BOS","L","2","9","0.182","240.0","39","81","0.481","13","26","0.5","16","5","0.8","5","31","36","24","8","4","14","22","107","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700169","1610612737","0021700169","NOV 10, 2017","ATL @ DET","L","2","10","0.167","240.0","44","89","0.494","8","24","0.333","8","11","0.727","11","34","45","28","11","7","15","21","104","2017-18","2018-04-13T22:39:11.529"
"1610612737_0021700177","1610612737","0021700177","NOV 11, 2017","ATL @ WAS","L","2","11","0.154","240.0","34","83","0.41","14","33","0.424","12","10","0.706","10","22","32","19","11","1","24","23","94","2017-18","2018-04-13T22:39:11.529"
