formatname,minutes,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,play3PA,play3PM,playFTA,playFTM,playORB,playDRB,playTRB,possOnCourt,possUsed,games
AJHammons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AaronBrooks,189.43333332600005,75.0,20.0,11.0,6.0,0.0,28.0,69.0,28.0,31.0,11.0,11.0,8.0,7.0,10.0,17.0,381.2945881105224,76.81599492208514,32
AaronGordon,1908.8499999700002,1022.0,136.0,107.0,58.0,45.0,111.0,866.0,375.0,342.0,115.0,225.0,157.0,88.0,370.0,458.0,4005.6695833732792,971.6877069605398,58
AaronHarrison,233.25,60.0,11.0,3.0,9.0,2.0,27.0,69.0,19.0,43.0,9.0,17.0,13.0,4.0,20.0,24.0,475.68005375130906,71.77695677647768,9
AaronJackson,34.5,8.0,1.0,1.0,0.0,0.0,4.0,9.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,65.67721875000001,9.98293725,1
AbdelNader,521.5499999820001,146.0,26.0,34.0,15.0,10.0,45.0,149.0,50.0,65.0,23.0,39.0,23.0,13.0,58.0,71.0,1071.1224940241639,178.62663446404687,48
AdreianPayne,42.550000000000004,21.0,0.0,2.0,2.0,0.0,6.0,10.0,7.0,3.0,2.0,6.0,5.0,2.0,7.0,9.0,86.42868437522387,12.817805659889636,5
AlFarouqAminu,2072.28333333,644.0,84.0,79.0,80.0,39.0,136.0,582.0,230.0,339.0,125.0,80.0,59.0,97.0,427.0,524.0,4260.5907368677645,623.2009433113826,69
AlHorford,2277.08333333,927.0,339.0,131.0,43.0,79.0,138.0,753.0,368.0,226.0,97.0,120.0,94.0,103.0,427.0,530.0,4590.899568739636,855.8262038825554,72
AlJefferson,483.5833333329999,252.0,30.0,21.0,16.0,23.0,66.0,208.0,111.0,3.0,0.0,36.0,30.0,30.0,113.0,143.0,977.4330018732197,222.59858527190175,36
AlanWilliams,70.33333332699999,20.0,8.0,7.0,5.0,1.0,13.0,18.0,7.0,0.0,0.0,9.0,6.0,3.0,19.0,22.0,140.12224186220143,26.218964153069468,5
AlecBurks,1058.6666666760004,494.0,67.0,60.0,38.0,8.0,75.0,414.0,170.0,142.0,47.0,124.0,107.0,19.0,173.0,192.0,2118.3301047069394,485.64705510726776,64
AlecPeters,224.84999999899998,82.0,12.0,4.0,2.0,2.0,13.0,74.0,28.0,58.0,18.0,10.0,8.0,8.0,29.0,37.0,468.09829343694685,73.7485408988735,20
AlexAbrines,1134.2000000100002,353.0,28.0,25.0,38.0,8.0,124.0,291.0,115.0,221.0,84.0,46.0,39.0,26.0,87.0,113.0,2304.7452931455955,296.78785544350006,75
AlexCaruso,561.933333343,134.0,75.0,41.0,24.0,9.0,52.0,116.0,50.0,43.0,13.0,30.0,21.0,15.0,50.0,65.0,1175.3154565846799,154.8876339722723,37
AlexLen,1395.3166666559996,587.0,82.0,78.0,27.0,60.0,158.0,378.0,214.0,3.0,1.0,231.0,158.0,176.0,343.0,519.0,2974.4086693508652,500.47782060631516,69
AlexPoythress,104.11666666600001,26.0,2.0,2.0,3.0,1.0,16.0,26.0,11.0,11.0,4.0,0.0,0.0,7.0,10.0,17.0,207.00944343541317,25.449364510151074,25
AlfonzoMcKinnie,53.433333334,21.0,1.0,3.0,1.0,1.0,8.0,15.0,8.0,9.0,3.0,3.0,2.0,1.0,6.0,7.0,108.93060750130536,18.678862878333536,14
AllenCrabbe,2197.0833333299997,990.0,118.0,77.0,47.0,36.0,168.0,827.0,337.0,532.0,201.0,135.0,115.0,28.0,295.0,323.0,4604.872868738899,867.2634841841754,75
AmileJefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AmirJohnson,1170.5499999989997,342.0,118.0,56.0,45.0,44.0,192.0,261.0,140.0,32.0,10.0,85.0,52.0,122.0,206.0,328.0,2484.052590932925,315.880627013423,74
AndreDrummond,2624.86666669,1171.0,237.0,203.0,115.0,129.0,250.0,881.0,466.0,11.0,0.0,395.0,239.0,401.0,848.0,1249.0,5353.11485848582,1115.029086452458,78
AndreIguodala,1622.43333336,384.0,211.0,67.0,54.0,38.0,99.0,320.0,148.0,117.0,33.0,87.0,55.0,49.0,196.0,245.0,3378.878459742334,391.0292544165567,64
AndreIngram,64.13333334,24.0,7.0,3.0,3.0,3.0,3.0,17.0,8.0,9.0,5.0,3.0,3.0,1.0,5.0,6.0,141.5071178272558,20.04827370084844,2
AndreRoberson,1036.6999999970003,194.0,46.0,30.0,46.0,35.0,89.0,162.0,87.0,36.0,8.0,38.0,12.0,75.0,110.0,185.0,2082.832286553176,181.8629486634964,39
AndrewBogut,216.39999999399996,36.0,15.0,19.0,4.0,13.0,40.0,25.0,17.0,0.0,0.0,2.0,2.0,26.0,52.0,78.0,456.7161328003992,38.75234189736815,24
AndrewHarrison,1326.283333323,533.0,177.0,81.0,38.0,26.0,138.0,429.0,181.0,142.0,47.0,159.0,124.0,23.0,108.0,131.0,2605.8184109174035,525.4470655845115,56
AndrewWhite,209.099999983,69.0,6.0,8.0,3.0,1.0,12.0,73.0,25.0,49.0,18.0,4.0,1.0,4.0,30.0,34.0,441.74963933911533,74.7070093454127,15
AndrewWiggins,2978.7333333299994,1452.0,160.0,138.0,91.0,52.0,163.0,1300.0,569.0,338.0,112.0,314.0,202.0,81.0,276.0,357.0,6069.735223747138,1405.5882649119083,82
AnteZizic,214.26666667300006,119.0,5.0,11.0,2.0,12.0,30.0,67.0,49.0,0.0,0.0,29.0,21.0,24.0,36.0,60.0,446.2397706357894,82.23765298028758,32
AnthonyBrown,3.733333333,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.167619999181461,1.0359410599075052,1
AnthonyDavis,2727.233333357,2110.0,175.0,162.0,115.0,192.0,159.0,1462.0,780.0,162.0,55.0,598.0,495.0,187.0,647.0,834.0,5812.133449424381,1726.6068343257234,75
AnthonyTolliver,1757.0500000299996,703.0,90.0,57.0,32.0,21.0,144.0,472.0,219.0,365.0,159.0,133.0,106.0,50.0,191.0,241.0,3557.800032245278,533.3284150470946,79
AntonioBlakeney,313.900000013,152.0,20.0,11.0,7.0,1.0,19.0,144.0,53.0,54.0,16.0,39.0,30.0,4.0,29.0,33.0,647.1540281512762,152.1667823292953,19
AntoniusCleveland,122.533333336,23.0,2.0,7.0,7.0,5.0,23.0,21.0,8.0,4.0,3.0,6.0,4.0,3.0,11.0,14.0,255.44071781607886,27.901988540657147,17
AronBaynes,1484.4833333399997,482.0,93.0,80.0,22.0,51.0,200.0,446.0,210.0,21.0,3.0,78.0,59.0,129.0,304.0,433.0,2977.012249079495,501.1911541524645,81
ArronAfflalo,681.5833333340001,179.0,30.0,21.0,4.0,9.0,56.0,162.0,65.0,70.0,27.0,26.0,22.0,4.0,62.0,66.0,1382.381625626691,181.6360702040498,52
