"primaryKey","teamId","seasonPlayed","leagueId","playerName","number","position","height","weight","birthDate","age","experience","school","playerId","season","dt"
"101106_1610612747_2017-18","1610612747","2017","00","Andrew Bogut","66","C","7-0","260","NOV 28, 1984","33.0","12","Utah","101106","2017-18","2018-01-03T15:59:32.473"
"101107_1610612766_2017-18","1610612766","2017","00","Marvin Williams","2","F","6-9","237","JUN 19, 1986","31.0","12","North Carolina","101107","2017-18","2018-04-13T22:39:11.529"
"101108_1610612745_2017-18","1610612745","2017","00","Chris Paul","3","G","6-0","175","MAY 06, 1985","32.0","12","Wake Forest","101108","2017-18","2018-04-13T22:39:11.529"
"101109_1610612760_2017-18","1610612760","2017","00","Raymond Felton","2","G","6-1","205","JUN 26, 1984","33.0","12","North Carolina","101109","2017-18","2018-04-13T22:39:11.529"
"101112_1610612739_2017-18","1610612739","2017","00","Channing Frye","8","F","6-11","255","MAY 17, 1983","34.0","11","Arizona","101112","2017-18","2018-02-04T07:40:59.388"
"101112_1610612747_2017-18","1610612747","2017","00","Channing Frye","12","F","6-11","255","MAY 17, 1983","34.0","11","Arizona","101112","2017-18","2018-04-13T22:39:11.529"
"101123_1610612745_2017-18","1610612745","2017","00","Gerald Green","14","G-F","6-7","205","JAN 26, 1986","32.0","10","Gulf Shores Aca. (TX)","101123","2017-18","2018-04-13T22:39:11.529"
"101127_1610612752_2017-18","1610612752","2017","00","Jarrett Jack","55","G","6-3","200","OCT 28, 1983","34.0","12","Georgia Tech","101127","2017-18","2018-04-13T22:39:11.529"
"101133_1610612764_2017-18","1610612764","2017","00","Ian Mahinmi","28","C","6-11","262","NOV 05, 1986","31.0","9","Rouen, France","101133","2017-18","2018-04-13T22:39:11.529"
"101139_1610612761_2017-18","1610612761","2017","00","CJ Miles","0","F-G","6-6","225","MAR 18, 1987","31.0","12","Skyline HS (TX)","101139","2017-18","2018-04-13T22:39:11.529"
"101141_1610612737_2017-18","1610612737","2017","00","Ersan Ilyasova","7","F","6-10","235","MAY 15, 1987","30.0","9","Eskisehir, Turkey","101141","2017-18","2018-02-14T04:58:03.217"
"101141_1610612755_2017-18","1610612755","2017","00","Ersan Ilyasova","23","F","6-10","235","MAY 15, 1987","30.0","9","Eskisehir, Turkey","101141","2017-18","2018-04-13T22:39:11.529"
"101150_1610612746_2017-18","1610612746","2017","00","Lou Williams","23","G","6-1","175","OCT 27, 1986","31.0","12","South Gwinnett HS (GA)","101150","2017-18","2018-04-13T22:39:11.529"
"101161_1610612755_2017-18","1610612755","2017","00","Amir Johnson","5","C-F","6-9","240","MAY 01, 1987","30.0","12","Westchester HS (Los Angeles)","101161","2017-18","2018-04-13T22:39:11.529"
"101162_1610612764_2017-18","1610612764","2017","00","Marcin Gortat","13","C","6-11","240","FEB 17, 1984","34.0","10","Lodz, Poland","101162","2017-18","2018-04-13T22:39:11.529"
"101181_1610612739_2017-18","1610612739","2017","00","Jose Calderon","81","G","6-3","200","SEP 28, 1981","36.0","12","Villanueva de la Serena, Spain","101181","2017-18","2018-04-13T22:39:11.529"
"1626143_1610612751_2017-18","1610612751","2017","00","Jahlil Okafor","4","C","6-11","260","DEC 15, 1995","22.0","2","Duke","1626143","2017-18","2018-04-13T22:39:11.529"
"1626144_1610612743_2017-18","1610612743","2017","00","Emmanuel Mudiay","0","G","6-5","200","MAR 05, 1996","21.0","2","","1626144","2017-18","2018-02-04T07:40:59.388"
"1626144_1610612752_2017-18","1610612752","2017","00","Emmanuel Mudiay","1","G","6-5","200","MAR 05, 1996","22.0","2","","1626144","2017-18","2018-04-13T22:39:11.529"
"1626145_1610612750_2017-18","1610612750","2017","00","Tyus Jones","1","G","6-2","184","MAY 10, 1996","21.0","2","Duke","1626145","2017-18","2018-04-13T22:39:11.529"
"1626147_1610612755_2017-18","1610612755","2017","00","Justin Anderson","1","G-F","6-6","230","NOV 19, 1993","24.0","2","Virginia","1626147","2017-18","2018-04-13T22:39:11.529"
"1626148_1610612750_2017-18","1610612750","2017","00","Anthony Brown","3","F","6-7","224","OCT 10, 1992","25.0","2","Stanford","1626148","2017-18","2018-04-13T22:39:11.529"
"1626149_1610612746_2017-18","1610612746","2017","00","Montrezl Harrell","5","F-C","6-8","240","JAN 26, 1994","24.0","2","Louisville","1626149","2017-18","2018-04-13T22:39:11.529"
"1626150_1610612763_2017-18","1610612763","2017","00","Andrew Harrison","5","G","6-6","213","OCT 28, 1994","23.0","1","Kentucky","1626150","2017-18","2018-04-13T22:39:11.529"
"1626151_1610612742_2017-18","1610612742","2017","00","Aaron Harrison","9","G","6-6","210","OCT 28, 1994","23.0","2","Kentucky","1626151","2017-18","2018-04-13T22:39:11.529"
"1626153_1610612761_2017-18","1610612761","2017","00","Delon Wright","55","G","6-5","190","APR 26, 1992","25.0","2","Utah","1626153","2017-18","2018-04-13T22:39:11.529"
"1626154_1610612745_2017-18","1610612745","2017","00","RJ Hunter","2","G","6-5","185","OCT 24, 1993","24.0","2","Georgia State","1626154","2017-18","2018-04-13T22:39:11.529"
"1626155_1610612746_2017-18","1610612746","2017","00","Sam Dekker","7","F","6-9","230","MAY 08, 1994","23.0","2","Wisconsin","1626155","2017-18","2018-04-13T22:39:11.529"
"1626156_1610612751_2017-18","1610612751","2017","00","DAngelo Russell","1","G","6-5","195","FEB 23, 1996","22.0","2","Ohio State","1626156","2017-18","2018-04-13T22:39:11.529"
"1626157_1610612750_2017-18","1610612750","2017","00","Karl-Anthony Towns","32","C","7-0","248","NOV 15, 1995","22.0","2","Kentucky","1626157","2017-18","2018-04-13T22:39:11.529"
"1626158_1610612755_2017-18","1610612755","2017","00","Richaun Holmes","22","F-C","6-10","235","OCT 15, 1993","24.0","2","Bowling Green","1626158","2017-18","2018-04-13T22:39:11.529"
"1626159_1610612748_2017-18","1610612748","2017","00","Justise Winslow","20","F","6-7","225","MAR 26, 1996","22.0","2","Duke","1626159","2017-18","2018-04-13T22:39:11.529"
"1626161_1610612758_2017-18","1610612758","2017","00","Willie Cauley-Stein","00","C","7-0","240","AUG 18, 1993","24.0","2","Kentucky","1626161","2017-18","2018-04-13T22:39:11.529"
"1626162_1610612764_2017-18","1610612764","2017","00","Kelly Oubre Jr.","12","F","6-7","205","DEC 09, 1995","22.0","2","Kansas","1626162","2017-18","2018-04-13T22:39:11.529"
"1626163_1610612766_2017-18","1610612766","2017","00","Frank Kaminsky","44","F-C","7-0","242","APR 04, 1993","25.0","2","Wisconsin","1626163","2017-18","2018-04-13T22:39:11.529"
"1626164_1610612756_2017-18","1610612756","2017","00","Devin Booker","1","G","6-6","210","OCT 30, 1996","21.0","2","Kentucky","1626164","2017-18","2018-04-13T22:39:11.529"
"1626166_1610612741_2017-18","1610612741","2017","00","Cameron Payne","22","G","6-3","185","AUG 08, 1994","23.0","2","Murray State","1626166","2017-18","2018-04-13T22:39:11.529"
"1626167_1610612754_2017-18","1610612754","2017","00","Myles Turner","33","C","6-11","255","MAR 24, 1996","22.0","2","Texas","1626167","2017-18","2018-04-13T22:39:11.529"
"1626168_1610612743_2017-18","1610612743","2017","00","Trey Lyles","7","F","6-10","234","NOV 05, 1995","22.0","2","Kentucky","1626168","2017-18","2018-04-13T22:39:11.529"
"1626169_1610612765_2017-18","1610612765","2017","00","Stanley Johnson","7","F","6-7","245","MAY 29, 1996","21.0","2","Arizona","1626169","2017-18","2018-04-13T22:39:11.529"
"1626170_1610612741_2017-18","1610612741","2017","00","Jerian Grant","2","G","6-4","198","OCT 09, 1992","25.0","2","Notre Dame","1626170","2017-18","2018-04-13T22:39:11.529"
"1626171_1610612741_2017-18","1610612741","2017","00","Bobby Portis","5","F","6-11","248","FEB 10, 1995","23.0","2","Arkansas","1626171","2017-18","2018-04-13T22:39:11.529"
"1626172_1610612744_2017-18","1610612744","2017","00","Kevon Looney","5","F","6-9","220","FEB 06, 1996","22.0","2","UCLA","1626172","2017-18","2018-04-13T22:39:11.529"
"1626173_1610612749_2017-18","1610612749","2017","00","Rashad Vaughn","20","G","6-6","202","AUG 16, 1996","21.0","2","UNLV","1626173","2017-18","2018-02-04T07:40:59.388"
"1626173_1610612753_2017-18","1610612753","2017","00","Rashad Vaughn","20","G","6-6","202","AUG 16, 1996","21.0","2","UNLV","1626173","2017-18","2018-03-19T14:36:33.05"
"1626175_1610612748_2017-18","1610612748","2017","00","Jordan Mickey","25","C-F","6-8","235","JUL 09, 1994","23.0","2","Louisiana State","1626175","2017-18","2018-04-13T22:39:11.529"
"1626177_1610612760_2017-18","1610612760","2017","00","Dakari Johnson","44","C","7-0","255","SEP 22, 1995","22.0","R","Kentucky","1626177","2017-18","2018-04-13T22:39:11.529"
"1626178_1610612751_2017-18","1610612751","2017","00","Rondae Hollis-Jefferson","24","F","6-7","214","JAN 03, 1995","23.0","2","Arizona","1626178","2017-18","2018-04-13T22:39:11.529"
"1626179_1610612738_2017-18","1610612738","2017","00","Terry Rozier","12","G","6-2","190","MAR 17, 1994","24.0","2","Louisville","1626179","2017-18","2018-04-13T22:39:11.529"
"1626181_1610612761_2017-18","1610612761","2017","00","Norman Powell","24","F-G","6-4","215","MAY 25, 1993","24.0","2","UCLA","1626181","2017-18","2018-04-13T22:39:11.529"
"1626185_1610612763_2017-18","1610612763","2017","00","Jarell Martin","1","F","6-10","239","MAY 24, 1994","23.0","2","Louisiana State","1626185","2017-18","2018-04-13T22:39:11.529"
"1626188_1610612744_2017-18","1610612744","2017","00","Quinn Cook","4","G","6-2","179","MAR 23, 1993","25.0","1","Duke","1626188","2017-18","2018-04-13T22:39:11.529"
"1626191_1610612764_2017-18","1610612764","2017","00","Chris McCullough","1","F","6-9","215","FEB 05, 1995","23.0","2","Syracuse","1626191","2017-18","2018-04-13T22:39:11.529"
"1626192_1610612757_2017-18","1610612757","2017","00","Pat Connaughton","5","G-F","6-5","210","JAN 06, 1993","25.0","2","Notre Dame","1626192","2017-18","2018-04-13T22:39:11.529"
"1626194_1610612739_2017-18","1610612739","2017","00","Marcus Thornton","52","G","6-3","190","FEB 09, 1993","25.0","R","William & Mary","1626194","2017-18","2018-03-19T07:39:32.603"
"1626195_1610612752_2017-18","1610612752","2017","00","Willy Hernangomez","14","C","6-11","240","MAY 27, 1994","23.0","1","Spain","1626195","2017-18","2018-02-04T07:40:59.388"
"1626195_1610612766_2017-18","1610612766","2017","00","Willy Hernangomez","41","C","6-11","240","MAY 27, 1994","23.0","1","Spain","1626195","2017-18","2018-04-13T22:39:11.529"
"1626196_1610612748_2017-18","1610612748","2017","00","Josh Richardson","0","F","6-6","200","SEP 15, 1993","24.0","2","Tennessee","1626196","2017-18","2018-04-13T22:39:11.529"
"1626199_1610612759_2017-18","1610612759","2017","00","Darrun Hilliard","24","G","6-6","220","APR 13, 1993","24.0","2","Villanova","1626199","2017-18","2018-04-13T22:39:11.529"
"1626202_1610612754_2017-18","1610612754","2017","00","Joe Young","3","G","6-2","185","JUN 27, 1992","25.0","2","Oregon","1626202","2017-18","2018-04-13T22:39:11.529"
"1626203_1610612766_2017-18","1610612766","2017","00","Treveon Graham","21","G-F","6-5","219","OCT 28, 1993","24.0","1","Virginia Commonwealth","1626203","2017-18","2018-04-13T22:39:11.529"
"1626204_1610612739_2017-18","1610612739","2017","00","Larry Nance Jr.","22","F","6-9","230","JAN 01, 1993","25.0","2","Wyoming","1626204","2017-18","2018-04-13T22:39:11.529"
"1626204_1610612747_2017-18","1610612747","2017","00","Larry Nance Jr.","7","F","6-9","230","JAN 01, 1993","25.0","2","Wyoming","1626204","2017-18","2018-02-04T07:40:59.388"
"1626205_1610612763_2017-18","1610612763","2017","00","Vincent Hunter","32","F","6-8","208","AUG 05, 1994","23.0","R","Texas-El Paso","1626205","2017-18","2018-01-12T15:00:35.667"
"1626209_1610612753_2017-18","1610612753","2017","00","Mario Hezonja","8","F-G","6-8","218","FEB 25, 1995","23.0","2","Croatia","1626209","2017-18","2018-04-13T22:39:11.529"
"1626210_1610612756_2017-18","1610612756","2017","00","Alan Williams","15","F-C","6-8","265","JAN 28, 1993","25.0","2","California-Santa Barbara","1626210","2017-18","2018-04-13T22:39:11.529"
"1626220_1610612762_2017-18","1610612762","2017","00","Royce ONeale","23","F","6-6","226","JUN 05, 1993","24.0","R","Baylor","1626220","2017-18","2018-04-13T22:39:11.529"
"1626224_1610612739_2017-18","1610612739","2017","00","Cedi Osman","16","F","6-8","215","APR 08, 1995","23.0","R","Anadolu Efes","1626224","2017-18","2018-04-13T22:39:11.529"
