playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_18-23 Long Jumper,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_09-12 Short Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_24-27 Three,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_18-23 Long Jumper,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_09-12 Short Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_24-27 Three,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three
A.C. Green,1.6470588235294117,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5454545454545454,0.9166666666666666,0.8396946564885496,0.7241379310344828,0.0,0.0,0.0,0.75,0.9942196531791907,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,1.2727272727272727,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,2.0,12.0,22.0,110.0,42.0,0.0,0.0,0.0,3.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0
Aaron McKie,1.3181818181818181,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.35714285714285715,0.17391304347826086,0.7017543859649122,0.8545454545454545,1.0714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,4.0,40.0,94.0,15.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Williams,1.6666666666666667,0.0,0.0,0.0,0.0,1.7575757575757576,0.0,0.0,0.0,0.5333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Acie Earl,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9696969696969697,0.717948717948718,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,32.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Adam Keefe,2.0,0.0,0.0,0.0,0.0,1.8888888888888888,0.0,0.0,0.0,0.8,1.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,1.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6666666666666666,2.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,8.0,8.0,18.0,6.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0
Adrian Caldwell,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8292682926829268,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Alan Henderson,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1111111111111112,0.47619047619047616,0.32,0.6666666666666666,0.0,0.0,0.0,0.0,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,10.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
Allan Houston,1.7083333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.96875,0.8131868131868132,0.819047619047619,0.8541666666666666,1.0108695652173914,0.0,0.0,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,62.0,74.0,172.0,328.0,93.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Allen Iverson,1.7444933920704846,1.5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.9743589743589743,0.6285714285714286,0.7386363636363636,0.88,0.8425531914893618,0.4,0.0,0.0,0.3753351206434316,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,396.0,6.0,0.0,0.0,0.0,60.0,0.0,0.0,4.0,76.0,44.0,130.0,242.0,198.0,6.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Alonzo Mourning,1.5789473684210527,0.0,0.0,0.0,0.0,1.9669421487603307,0.0,0.0,0.0,0.559322033898305,0.6495726495726496,1.0689655172413792,0.6923076923076923,0.0,0.0,0.0,0.0,0.9108910891089109,0.6666666666666666,0.0,0.0,0.0,0.0,1.2,1.3274336283185841,1.3333333333333333,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,66.0,76.0,124.0,18.0,0.0,0.0,0.0,0.0,184.0,2.0,0.0,0.0,0.0,0.0,12.0,150.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
