playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_13-17 Mid Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_28-34 Deep,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_13-17 Mid Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_28-34 Deep,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim
A.C. Green,1.2142857142857142,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.5555555555555556,0.37037037037037035,0.8666666666666667,0.9306930693069307,0.0,0.0,0.0,0.0,1.0178571428571428,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,10.0,10.0,182.0,94.0,0.0,0.0,0.0,0.0,114.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0
Aaron McKie,1.2941176470588236,1.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,0.38095238095238093,0.6923076923076923,0.5376344086021505,0.9032258064516129,0.4897959183673469,0.0,0.0,0.0,0.8620689655172413,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,18.0,50.0,84.0,24.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Aaron Williams,1.1111111111111112,0.0,0.0,0.0,1.7307692307692308,0.0,0.0,1.2,0.4878048780487805,0.15384615384615385,1.0434782608695652,0.6666666666666666,0.0,0.0,0.0,0.0,1.0833333333333333,1.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,90.0,0.0,0.0,6.0,20.0,2.0,24.0,4.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
Adam Keefe,1.125,0.0,0.0,0.0,1.8644067796610169,0.0,0.0,0.0,0.7058823529411765,0.7272727272727273,0.6511627906976745,0.9767441860465116,0.0,0.0,0.0,0.0,1.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.625,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,24.0,16.0,28.0,42.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0
Adonal Foyle,1.5,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.0,0.3888888888888889,0.6666666666666666,0.18181818181818182,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,2.0,0.96,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,14.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Alan Henderson,1.813953488372093,0.0,0.0,0.0,1.6619718309859155,0.0,0.0,0.0,0.6428571428571429,0.7766990291262136,0.7142857142857143,0.8571428571428571,1.5,0.0,0.0,0.0,1.1049723756906078,0.0,0.0,0.0,0.0,0.0,0.7407407407407407,0.4,0.0,0.0,0.0,0.0,1.069767441860465,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,90.0,80.0,80.0,12.0,6.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
Allan Houston,1.5145631067961165,2.0,0.0,0.0,1.9047619047619047,2.0,0.0,0.3333333333333333,0.7758620689655172,0.7704918032786885,0.823170731707317,0.9530685920577617,1.1470588235294117,2.0,0.0,0.0,0.6434782608695652,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,156.0,4.0,0.0,0.0,40.0,2.0,0.0,2.0,90.0,94.0,270.0,264.0,195.0,6.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Allen Iverson,1.7179487179487178,1.4,0.0,0.0,1.793103448275862,0.0,0.0,0.5,0.6753246753246753,0.7719298245614035,0.7982456140350878,1.036649214659686,0.7980295566502463,1.6666666666666667,0.0,0.0,0.5428571428571428,1.1428571428571428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,402.0,14.0,0.0,0.0,52.0,0.0,0.0,2.0,104.0,88.0,182.0,198.0,162.0,15.0,0.0,0.0,114.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Alonzo Mourning,1.2941176470588236,0.0,0.0,0.0,1.9275362318840579,0.0,0.0,1.0,0.36065573770491804,0.7341772151898734,0.74,0.4444444444444444,0.0,0.0,0.0,0.0,1.183673469387755,0.0,0.0,0.0,0.0,1.5555555555555556,1.1074380165289257,1.3333333333333333,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,266.0,0.0,0.0,2.0,22.0,58.0,74.0,12.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,14.0,134.0,8.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
Alton Lister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
