playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_18-23 Long Jumper,PPS_Dunk_24-27 Three,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_18-23 Long Jumper,Points_Dunk_24-27 Three,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_24-27 Three
Al Harrington,1.5294117647058822,2.0,0.0,0.0,1.8823529411764706,0.0,0.0,0.0,0.0,0.44,0.7586206896551724,1.1428571428571428,0.5454545454545454,0.47368421052631576,0.0,0.0,0.0,1.0833333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,1.6,0.0,0.0,26.0,4.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,22.0,22.0,32.0,18.0,9.0,0.0,0.0,0.0,52.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,16.0,0.0,0.0
Andre Miller,1.3888888888888888,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.7074829931972789,0.8266666666666667,0.7096774193548387,0.6181818181818182,0.7941176470588236,0.75,0.0,0.0,0.9423076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,250.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,104.0,62.0,88.0,34.0,27.0,3.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Antawn Jamison,1.641025641025641,2.0,0.0,2.0,1.8461538461538463,0.0,0.0,0.0,0.8888888888888888,0.5918367346938775,0.7017543859649122,0.6909090909090909,0.64,0.0,0.0,0.0,0.0,1.3548387096774193,0.8571428571428571,0.0,0.0,0.0,1.0,1.0232558139534884,0.75,0.0,2.0,1.2727272727272727,0.0,0.0,64.0,2.0,0.0,2.0,24.0,0.0,0.0,0.0,8.0,116.0,40.0,76.0,16.0,0.0,0.0,0.0,0.0,210.0,12.0,0.0,0.0,0.0,4.0,88.0,6.0,0.0,2.0,42.0,0.0,0.0
Anthony Carter,1.2087912087912087,1.5,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.6923076923076923,0.4,0.6122448979591837,0.6716417910447762,0.6666666666666666,0.0,0.0,0.0,1.03125,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,110.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,36.0,12.0,60.0,90.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0
Anthony Parker,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2941176470588236,0.5882352941176471,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Daniels,1.7692307692307692,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.5714285714285714,0.8311688311688312,0.6037735849056604,1.25,0.0,0.0,0.0,1.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,32.0,12.0,64.0,32.0,60.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio McDyess,1.2653061224489797,2.0,0.0,0.0,1.8026315789473684,0.0,0.0,0.0,0.0,0.8555555555555555,0.9448818897637795,0.7653061224489796,0.84,0.0,0.0,0.0,0.0,1.1219512195121952,0.0,0.0,0.0,0.0,2.0,0.5454545454545454,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,62.0,4.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,154.0,120.0,300.0,42.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,34.0,0.0,0.0
Baron Davis,1.4457831325301205,2.0,0.0,0.0,1.8888888888888888,0.0,0.0,0.0,0.0,0.5454545454545454,0.6666666666666666,0.6268656716417911,0.5306122448979592,0.7653061224489797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,120.0,2.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,12.0,10.0,42.0,26.0,75.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Ben Wallace,1.1764705882352942,0.0,0.0,0.0,1.7471264367816093,0.0,0.0,0.0,0.0,0.2631578947368421,0.4,0.36363636363636365,0.5714285714285714,0.0,0.0,0.0,0.0,0.9387755102040817,0.6666666666666666,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,20.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,10.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,92.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,30.0,0.0,0.0
Brad Miller,1.1428571428571428,0.0,0.0,0.0,1.8823529411764706,0.0,0.0,0.0,2.0,0.5652173913043478,0.38461538461538464,0.6,0.0,0.0,0.0,0.0,0.0,1.0078740157480315,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,8.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,4.0,26.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,128.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0
