playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_09-12 Short Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_09-12 Short Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim
A.C. Green,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.13333333333333333,0.14285714285714285,0.8571428571428571,0.8717948717948718,0.0,0.0,0.0,0.0,1.2647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,90.0,68.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Guyton,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,1.0,0.6451612903225806,0.7654320987654321,1.26,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,20.0,62.0,63.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron McKie,1.8734177215189873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463768115942029,0.7368421052631579,0.8309859154929577,0.8905109489051095,0.8571428571428571,0.25,0.0,0.0,1.2619047619047619,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8181818181818181,1.6666666666666667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,42.0,118.0,122.0,84.0,3.0,0.0,0.0,106.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Aaron Williams,1.3846153846153846,0.0,0.0,0.0,1.6590909090909092,0.0,0.0,0.0,0.5346534653465347,0.7659574468085106,0.5609756097560976,0.6153846153846154,0.0,0.0,0.0,0.0,0.9379310344827586,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0943396226415094,0.6,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,54.0,36.0,46.0,16.0,0.0,0.0,0.0,0.0,136.0,2.0,0.0,0.0,0.0,0.0,4.0,58.0,6.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Keefe,1.4285714285714286,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5263157894736842,0.8571428571428571,0.25806451612903225,0.75,1.5,0.0,0.0,0.0,1.3529411764705883,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,10.0,12.0,8.0,18.0,3.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Adonal Foyle,0.8571428571428571,0.0,0.0,0.0,1.8666666666666667,2.0,2.0,0.0,0.275,0.38095238095238093,0.8461538461538461,1.3333333333333333,0.0,0.0,0.0,0.0,1.1111111111111112,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,1.0909090909090908,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.5945945945945946,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0,2.0,2.0,0.0,22.0,8.0,22.0,4.0,0.0,0.0,0.0,0.0,60.0,4.0,0.0,0.0,0.0,0.0,8.0,108.0,14.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0
Adrian Griffin,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.25,0.7272727272727273,1.0909090909090908,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,16.0,12.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Harrington,1.5238095238095237,2.0,0.0,0.0,1.9428571428571428,2.0,0.0,0.0,0.48936170212765956,0.7457627118644068,0.7663551401869159,0.819672131147541,0.6000000000000001,0.0,0.0,0.0,0.8598130841121495,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,1.2,1.0,1.2,0.0,0.0,0.0,0.0,1.25,2.0,0.0,0.0,0.0,2.0,2.0,32.0,4.0,0.0,0.0,68.0,4.0,0.0,0.0,46.0,44.0,82.0,50.0,3.0,0.0,0.0,0.0,92.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,2.0,2.0
Alan Henderson,1.5384615384615385,2.0,0.0,0.0,1.7575757575757576,0.0,0.0,1.0,0.45454545454545453,0.5897435897435898,0.6593406593406593,0.7142857142857143,0.0,0.0,0.0,0.0,1.1826923076923077,0.5,0.0,0.0,0.0,0.0,0.0,1.024390243902439,0.9090909090909091,0.6666666666666666,0.0,0.0,0.0,0.0,1.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,58.0,0.0,0.0,2.0,60.0,46.0,60.0,10.0,0.0,0.0,0.0,0.0,246.0,4.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan Houston,1.346938775510204,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5882352941176471,0.9692307692307692,0.949438202247191,1.0,1.1099999999999999,1.2000000000000002,0.0,0.0,0.49230769230769234,0.4,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.6,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,66.0,6.0,0.0,0.0,8.0,0.0,0.0,2.0,50.0,126.0,338.0,280.0,222.0,6.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
