playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_09-12 Short Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Layup_28-34 Deep,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_09-12 Short Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Layup_28-34 Deep,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_24-27 Three
A.J. Guyton,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.5294117647058824,0.4927536231884058,1.3225806451612903,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,18.0,34.0,123.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron McKie,1.75,2.0,0.0,2.0,0.0,0.0,0.0,0.7777777777777778,0.7659574468085106,0.7169811320754716,1.0357142857142858,0.949367088607595,0.5,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.0,0.0,4.0,0.0,0.0,0.0,28.0,36.0,76.0,116.0,75.0,3.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Williams,0.8888888888888888,0.0,0.0,1.8620689655172413,2.0,0.0,0.0,0.48,0.7222222222222222,0.7916666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.2040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3725490196078431,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,108.0,2.0,0.0,0.0,36.0,26.0,38.0,4.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,70.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
Adonal Foyle,2.0,0.0,0.0,1.9,0.0,0.0,1.0,0.43037974683544306,0.5263157894736842,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,1.0930232558139534,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.011764705882353,1.1666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,0.6666666666666666,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,38.0,0.0,0.0,2.0,34.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,94.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Adrian Griffin,1.736842105263158,0.0,0.0,2.0,0.0,0.0,2.0,0.7894736842105263,1.032258064516129,0.7931034482758621,0.8780487804878049,0.2857142857142857,0.0,0.0,0.0,1.2173913043478262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,6.0,0.0,0.0,2.0,30.0,32.0,46.0,72.0,6.0,0.0,0.0,0.0,84.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Harrington,2.0,0.0,0.0,1.837837837837838,2.0,0.0,0.5,0.7532467532467533,0.625,0.7708333333333334,0.7058823529411765,0.0,3.0,0.0,0.0,0.8974358974358975,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,1.8823529411764706,1.625,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,68.0,2.0,0.0,2.0,58.0,40.0,74.0,36.0,0.0,3.0,0.0,0.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Alan Henderson,1.0,0.0,0.0,1.6,0.0,0.0,0.0,0.5384615384615384,0.0,0.6666666666666666,2.0,0.0,3.0,0.0,0.0,1.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,14.0,0.0,6.0,2.0,0.0,3.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan Houston,1.2727272727272727,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.8125,0.9380530973451328,0.8819875776397516,0.8912466843501327,1.1956521739130435,1.0,0.0,0.0,0.5526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6666666666666667,1.5384615384615385,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,42.0,0.0,0.0,4.0,0.0,0.0,0.0,52.0,106.0,284.0,336.0,330.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0
Allen Iverson,1.7469879518072289,1.3333333333333333,0.0,2.0,0.0,0.0,0.0,0.6762589928057554,0.5416666666666666,0.7603686635944701,0.740484429065744,0.9178082191780821,0.5,0.0,0.0,0.6448598130841121,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,290.0,4.0,0.0,14.0,0.0,0.0,0.0,94.0,78.0,330.0,214.0,201.0,12.0,0.0,0.0,138.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Alonzo Mourning,1.3793103448275863,0.0,0.0,1.8484848484848484,2.0,0.0,1.0,0.64,0.6835443037974683,0.8131868131868132,0.6818181818181818,0.0,0.0,0.0,0.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.9419354838709677,0.9090909090909091,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,244.0,2.0,0.0,2.0,32.0,54.0,148.0,30.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,146.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
