playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_18-23 Long Jumper,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_18-23 Long Jumper,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper
A.J. Guyton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron McKie,1.6363636363636365,2.0,0.0,0.0,0.0,0.0,0.0,0.6976744186046512,0.4,0.6808510638297872,0.8493150684931506,1.0588235294117647,0.0,0.0,0.0,0.9866666666666667,0.0,0.0,0.0,0.0,1.2,2.0,2.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,22.0,96.0,124.0,54.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Aaron Williams,0.9333333333333333,2.0,0.0,0.0,1.6756756756756757,0.0,0.0,0.6274509803921569,1.0344827586206897,0.7037037037037037,0.7058823529411765,0.0,0.0,0.0,0.0,0.9384615384615385,1.3333333333333333,0.0,0.0,0.0,0.9387755102040817,0.35294117647058826,0.5,0.0,0.0,0.0,0.782608695652174,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,62.0,0.0,0.0,32.0,30.0,38.0,12.0,0.0,0.0,0.0,0.0,122.0,4.0,0.0,0.0,0.0,46.0,6.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Adam Harrington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adonal Foyle,1.4285714285714286,0.0,0.0,0.0,1.9047619047619047,0.0,0.0,0.5172413793103449,1.0909090909090908,0.8125,0.6666666666666666,0.0,0.0,0.0,0.0,1.1891891891891893,1.3333333333333333,0.0,0.0,2.0,1.1515151515151516,2.0,0.0,0.0,0.0,0.0,0.7878787878787878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,80.0,0.0,0.0,30.0,24.0,26.0,2.0,0.0,0.0,0.0,0.0,88.0,4.0,0.0,0.0,2.0,76.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Griffin,1.5454545454545454,0.0,0.0,0.0,2.0,0.0,0.0,0.7727272727272727,0.7333333333333333,0.7837837837837838,0.8333333333333334,0.5454545454545454,0.0,0.0,0.0,0.9142857142857143,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,8.0,0.0,0.0,34.0,22.0,58.0,90.0,6.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Harrington,1.25,2.0,0.0,0.0,1.8,2.0,0.0,0.4155844155844156,0.6721311475409836,0.927038626609442,0.75,1.0,0.0,0.0,0.0,0.9306930693069307,0.0,0.0,0.0,2.0,0.8,1.1111111111111112,1.0,0.0,0.0,0.0,1.4736842105263157,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,54.0,2.0,0.0,32.0,82.0,216.0,90.0,24.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,4.0,4.0,20.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Alan Henderson,1.3333333333333333,0.0,0.0,0.0,2.0,0.0,0.0,0.16,0.48,0.7457627118644068,0.2,0.0,0.0,0.0,0.0,1.2244897959183674,0.0,0.0,0.0,1.0,1.25,1.4285714285714286,1.3333333333333333,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,48.0,0.0,0.0,8.0,12.0,44.0,2.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,2.0,30.0,10.0,4.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan Houston,1.6153846153846154,1.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.8607594936708861,0.8702290076335878,0.8833333333333333,0.9779951100244498,1.121580547112462,0.0,0.0,0.0,0.3939393939393939,0.0,0.0,0.0,0.0,1.75,1.75,1.894736842105263,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,0.0,4.0,0.0,0.0,68.0,114.0,318.0,400.0,369.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,14.0,28.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Allen Iverson,1.7362637362637363,2.0,0.0,0.0,2.0,0.0,2.0,0.7339449541284404,0.6722689075630253,0.6854663774403471,0.8962264150943396,0.8486055776892432,0.0,0.6000000000000001,3.0,0.6934097421203438,1.6,0.0,0.0,2.0,0.6666666666666666,0.0,1.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,316.0,4.0,0.0,0.0,8.0,0.0,4.0,80.0,80.0,316.0,380.0,213.0,0.0,3.0,3.0,242.0,8.0,0.0,0.0,2.0,2.0,0.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
