playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_24-27 Three,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_24-27 Three,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_24-27 Three,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_24-27 Three,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range
Al Harrington,1.75,2.0,0.0,1.9682539682539681,2.0,0.0,0.0,0.3,0.7073170731707317,0.9004329004329005,0.8928571428571429,0.7659574468085106,0.0,1.5,0.0,0.8404255319148937,0.5,0.0,0.0,0.0,0.9230769230769231,1.875,1.4666666666666666,1.0,0.0,0.0,0.0,1.2592592592592593,0.0,0.0,0.0,2.0,0.0,0.0,28.0,4.0,0.0,124.0,4.0,0.0,0.0,24.0,58.0,208.0,100.0,36.0,0.0,3.0,0.0,158.0,2.0,0.0,0.0,0.0,12.0,30.0,22.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,6.0,0.0,0.0
Amare Stoudemire,1.84,0.0,0.0,1.7477477477477477,0.0,0.0,0.0,0.6962025316455697,0.8131868131868132,0.5901639344262295,0.6,0.0,0.0,0.0,0.0,0.8186528497409327,1.3333333333333333,0.0,0.0,2.0,1.3043478260869565,0.8333333333333334,0.8571428571428571,0.0,0.0,0.0,0.0,1.3157894736842106,0.0,0.0,0.0,1.0,0.0,0.0,46.0,0.0,0.0,194.0,0.0,0.0,0.0,110.0,74.0,72.0,18.0,0.0,0.0,0.0,0.0,158.0,4.0,0.0,0.0,2.0,60.0,20.0,12.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0
Andre Miller,1.3445378151260505,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.848,0.7636363636363637,0.7724867724867724,0.509090909090909,0.6136363636363636,1.0,0.0,0.0,1.136150234741784,0.6666666666666666,0.0,0.0,0.0,1.0,1.0588235294117647,0.6666666666666666,1.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,2.0,0.0,0.0,160.0,0.0,0.0,4.0,0.0,0.0,0.0,106.0,84.0,146.0,28.0,27.0,6.0,0.0,0.0,242.0,2.0,0.0,0.0,0.0,14.0,18.0,14.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0
Andrei Kirilenko,1.4929577464788732,0.0,0.0,1.9058823529411764,2.0,0.0,2.0,0.5833333333333334,0.25,0.4897959183673469,0.5384615384615384,1.0181818181818183,0.0,0.0,0.0,0.807843137254902,1.3333333333333333,0.0,0.0,0.0,1.5,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,162.0,2.0,0.0,4.0,28.0,8.0,24.0,70.0,168.0,0.0,0.0,0.0,206.0,4.0,0.0,0.0,0.0,6.0,10.0,2.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
Antawn Jamison,1.9375,0.0,0.0,2.0,0.0,0.0,2.0,0.8645833333333334,0.7894736842105263,0.7397260273972602,0.7422680412371134,1.153846153846154,0.0,0.0,0.0,1.2993197278911566,2.0,0.0,0.0,1.3333333333333333,1.2280701754385965,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,1.2380952380952381,0.0,0.0,0.0,2.0,1.0,0.0,62.0,0.0,0.0,28.0,0.0,0.0,2.0,166.0,60.0,54.0,72.0,30.0,0.0,0.0,0.0,382.0,6.0,0.0,0.0,4.0,70.0,16.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,6.0,2.0,0.0
Anthony Carter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Daniels,1.7272727272727273,1.0,0.0,1.8,0.0,0.0,0.0,0.7636363636363637,0.9565217391304348,0.6923076923076923,0.8695652173913043,1.0,3.0,0.0,0.0,1.0769230769230769,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,76.0,2.0,0.0,18.0,0.0,0.0,0.0,42.0,22.0,36.0,60.0,90.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Antonio McDyess,1.7142857142857142,0.0,0.0,1.7777777777777777,0.0,0.0,0.0,0.45454545454545453,0.6153846153846154,0.7567567567567568,0.9047619047619048,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,2.0,1.0909090909090908,0.5,2.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,16.0,0.0,0.0,0.0,10.0,16.0,56.0,38.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,8.0,12.0,6.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Baron Davis,1.671875,2.0,0.0,1.9230769230769231,0.0,0.0,0.0,0.5423728813559322,0.625,0.703030303030303,0.7475728155339806,0.9570552147239264,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.8,1.5,1.2,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,1.6,2.0,0.0,214.0,2.0,0.0,50.0,0.0,0.0,0.0,32.0,30.0,116.0,154.0,468.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,2.0,0.0
Ben Wallace,2.0,0.0,0.0,1.6122448979591837,0.0,0.0,2.0,0.2222222222222222,0.37037037037037035,0.49411764705882355,0.5384615384615384,1.5,0.0,0.0,0.0,0.6916666666666667,0.0,0.0,0.0,1.0,0.7058823529411765,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.2790697674418605,0.0,0.0,0.0,2.0,1.0,0.0,50.0,0.0,0.0,158.0,0.0,0.0,2.0,14.0,20.0,42.0,14.0,3.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,2.0,24.0,6.0,10.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,8.0,2.0,0.0
