playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_18-23 Long Jumper,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_18-23 Long Jumper,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range
Al Harrington,1.7297297297297298,0.0,1.9701492537313432,0.0,0.0,0.0,0.6597938144329897,0.4473684210526316,0.6862745098039216,0.8,0.6818181818181818,1.5,0.0,0.0,0.9571428571428572,1.0,0.0,0.0,0.0,0.0,0.0,1.2222222222222223,1.3333333333333333,1.3333333333333333,1.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,1.5,0.0,0.0,64.0,0.0,132.0,0.0,0.0,0.0,64.0,34.0,140.0,72.0,30.0,3.0,0.0,0.0,268.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,12.0,2.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,6.0,0.0,0.0
Al Jefferson,1.0,0.0,1.9574468085106382,0.0,0.0,0.0,0.8055555555555556,0.9,0.7272727272727273,0.6666666666666666,0.0,0.0,0.0,0.0,0.9105691056910569,1.0,0.0,0.0,0.0,0.0,0.0,1.5333333333333334,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,92.0,0.0,0.0,0.0,58.0,18.0,16.0,2.0,0.0,0.0,0.0,0.0,112.0,6.0,0.0,0.0,0.0,0.0,0.0,46.0,8.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,2.0,0.0
Amare Stoudemire,1.7543859649122806,0.6666666666666666,1.8253275109170306,0.0,0.0,1.0,0.7777777777777778,0.5504587155963303,0.944206008583691,0.896551724137931,0.75,0.0,0.0,0.0,1.0503597122302157,2.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.2413793103448276,1.5,1.4,2.0,0.0,0.0,0.0,1.263157894736842,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,100.0,2.0,418.0,0.0,0.0,4.0,154.0,60.0,220.0,78.0,6.0,0.0,0.0,0.0,292.0,6.0,0.0,0.0,0.0,0.0,4.0,36.0,30.0,28.0,4.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,2.0,0.0,0.0
Anderson Varejao,1.1111111111111112,2.0,1.8571428571428572,0.0,0.0,0.0,0.7058823529411765,0.5,0.5333333333333333,1.0,0.0,0.0,0.0,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,2.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,26.0,0.0,0.0,0.0,12.0,2.0,16.0,22.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Iguodala,1.9310344827586208,0.0,1.7727272727272727,0.0,0.0,0.0,0.2777777777777778,0.5217391304347826,0.5531914893617021,0.6736842105263158,1.1012658227848102,1.5,0.0,0.0,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0,2.0,0.0,0.0,0.0,0.0,1.894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,156.0,0.0,0.0,0.0,10.0,12.0,26.0,64.0,87.0,3.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Miller,1.5164835164835164,0.0,2.0,0.0,0.0,0.0,0.7,0.6567164179104478,0.7903225806451613,0.7916666666666666,0.7142857142857142,0.0,1.0,0.0,1.208695652173913,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,1.1111111111111112,0.8,1.0,0.0,0.0,0.0,1.0769230769230769,0.0,0.0,0.0,2.0,0.0,0.0,138.0,0.0,6.0,0.0,0.0,0.0,42.0,44.0,196.0,76.0,15.0,0.0,3.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,16.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0
Andrei Kirilenko,1.6666666666666667,2.0,1.8823529411764706,0.0,0.0,2.0,0.6086956521739131,0.47058823529411764,0.6190476190476191,0.7837837837837838,1.0999999999999999,0.0,0.0,0.0,1.0467289719626167,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.6666666666666667,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,64.0,0.0,0.0,2.0,14.0,8.0,26.0,58.0,66.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,10.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
Andres Nocioni,1.793103448275862,2.0,1.5,0.0,0.0,0.0,0.6567164179104478,0.7142857142857143,0.7045454545454546,0.8387096774193549,0.6885245901639344,0.0,0.0,0.0,0.8153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,2.0,0.0,52.0,4.0,18.0,0.0,0.0,0.0,44.0,40.0,62.0,104.0,42.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0
Andris Biedrins,0.0,0.0,2.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2173913043478262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Antawn Jamison,1.736842105263158,1.0,2.0,2.0,0.0,0.0,0.6458333333333334,0.6136363636363636,0.588957055214724,0.8014705882352942,1.1296296296296298,0.0,0.0,0.0,1.2596685082872927,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.4285714285714286,1.4545454545454546,1.75,0.0,0.0,0.0,0.0,1.8181818181818181,0.0,0.0,0.0,2.0,1.0,0.0,66.0,2.0,12.0,2.0,0.0,0.0,124.0,54.0,96.0,218.0,183.0,0.0,0.0,0.0,228.0,8.0,0.0,0.0,0.0,0.0,2.0,50.0,16.0,14.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,2.0,0.0
