playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range
Al Harrington,1.6491228070175439,2.0,1.9545454545454546,2.0,0.0,0.5391304347826087,0.5084745762711864,0.8664259927797834,0.7891891891891892,1.0,0.0,0.0,0.0,0.9621212121212122,0.0,1.6,1.0588235294117647,1.25,1.1666666666666667,2.0,0.0,0.0,0.0,1.4074074074074074,0.0,0.0,0.0,0.0,2.0,0.0,94.0,2.0,86.0,2.0,0.0,62.0,30.0,240.0,146.0,141.0,0.0,0.0,0.0,254.0,0.0,8.0,18.0,10.0,14.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,2.0,0.0
Al Jefferson,1.7777777777777777,0.0,1.9230769230769231,0.0,2.0,0.6206896551724138,0.5,0.6,0.5,0.0,0.0,0.0,0.0,1.0125,0.8,1.5,1.0638297872340425,1.1428571428571428,0.6666666666666666,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,50.0,0.0,2.0,36.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,162.0,4.0,6.0,50.0,8.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Anderson,1.3333333333333333,0.0,1.75,0.0,0.0,0.3333333333333333,1.0,0.4,0.7796610169491526,1.0499999999999998,0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,14.0,0.0,0.0,4.0,6.0,6.0,46.0,21.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Amare Stoudemire,0.0,0.0,2.0,0.0,0.0,0.25,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Johnson,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderson Varejao,1.0909090909090908,0.0,1.8571428571428572,0.0,0.0,0.75,1.0,1.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.1147540983606556,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0476190476190477,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,26.0,0.0,0.0,6.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Andray Blatche,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8999999999999999,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,16.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Iguodala,1.7916666666666667,0.0,1.7142857142857142,2.0,0.0,0.4166666666666667,0.48,0.711864406779661,0.8666666666666667,0.9523809523809523,0.0,0.0,0.0,0.7947019867549668,1.0,0.0,1.4285714285714286,1.25,0.8,0.0,0.0,0.0,0.0,1.6521739130434783,2.0,0.0,0.0,0.0,2.0,0.0,86.0,0.0,144.0,2.0,0.0,20.0,12.0,42.0,104.0,60.0,0.0,0.0,0.0,120.0,2.0,0.0,20.0,10.0,4.0,0.0,0.0,0.0,0.0,76.0,4.0,0.0,0.0,0.0,2.0,0.0
Andre Miller,1.2348993288590604,1.0,0.0,0.0,2.0,0.9696969696969697,0.7741935483870968,0.7981220657276995,0.8543689320388349,0.6923076923076923,0.0,0.0,0.30000000000000004,1.0162162162162163,1.3333333333333333,2.0,0.7142857142857143,1.0769230769230769,0.75,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,2.0,0.0,0.0,184.0,2.0,0.0,0.0,2.0,64.0,48.0,170.0,88.0,9.0,0.0,0.0,3.0,188.0,4.0,2.0,10.0,14.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
Andrei Kirilenko,1.5081967213114753,0.0,1.9393939393939394,0.0,0.0,0.4642857142857143,0.42105263157894735,0.8,0.608,0.9299999999999999,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666,2.0,0.0,0.0,0.0,1.0833333333333333,0.0,0.0,0.0,2.0,0.0,0.0,92.0,0.0,128.0,0.0,0.0,26.0,8.0,48.0,76.0,93.0,0.0,0.0,0.0,170.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,2.0,0.0,0.0
Andres Nocioni,1.7142857142857142,2.0,1.8,0.0,0.0,0.7636363636363637,0.8888888888888888,0.8076923076923077,0.8648648648648649,1.1676646706586826,0.0,0.0,0.0,0.9109947643979057,1.3333333333333333,1.3333333333333333,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,1.0,2.0,0.0,84.0,2.0,36.0,0.0,0.0,42.0,24.0,84.0,160.0,195.0,0.0,0.0,0.0,174.0,4.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,2.0,0.0
Andrew Bogut,1.3333333333333333,0.0,1.8305084745762712,0.0,0.0,0.45,0.8421052631578947,0.6829268292682927,0.4444444444444444,0.0,0.0,0.0,0.0,1.1505791505791505,0.0,0.8571428571428571,0.9577464788732394,1.0,2.0,0.0,0.0,0.0,0.0,1.0819672131147542,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,108.0,0.0,0.0,18.0,16.0,28.0,8.0,0.0,0.0,0.0,0.0,298.0,0.0,12.0,68.0,6.0,2.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Bynum,0.0,0.0,1.75,0.0,0.0,0.6153846153846154,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.7878787878787878,0.0,0.0,0.7142857142857143,2.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Andris Biedrins,1.8181818181818181,0.0,2.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2972972972972974,0.4,0.0,1.3846153846153846,2.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,74.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,2.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Antawn Jamison,1.4545454545454546,2.0,2.0,0.0,0.0,0.6731707317073171,0.8235294117647058,0.6394557823129252,0.7688022284122563,1.1941747572815533,0.0,1.0,0.0,1.1244239631336406,2.0,0.0,1.3513513513513513,1.0769230769230769,1.6666666666666667,2.0,0.0,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,1.2,1.6666666666666667,0.0,64.0,10.0,28.0,0.0,0.0,138.0,70.0,94.0,276.0,369.0,0.0,3.0,0.0,244.0,14.0,0.0,50.0,14.0,10.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,6.0,30.0,0.0
Anthony Carter,1.4444444444444444,0.0,2.0,0.0,0.0,2.0,1.0,0.9411764705882353,0.5490196078431373,1.2000000000000002,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,0.0,0.0,8.0,2.0,16.0,28.0,12.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Daniels,1.8717948717948718,2.0,2.0,0.0,0.0,0.5647058823529412,1.1538461538461537,0.5679012345679012,0.5806451612903226,0.7411764705882353,0.0,0.0,0.0,0.7123287671232876,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,146.0,10.0,18.0,0.0,0.0,48.0,30.0,46.0,54.0,63.0,0.0,0.0,0.0,52.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Antonio McDyess,1.7777777777777777,0.0,2.0,0.0,0.0,0.5217391304347826,0.9230769230769231,0.8653061224489796,0.7526881720430108,0.0,0.0,0.0,0.0,1.2911392405063291,0.0,0.0,0.0,1.3333333333333333,1.5555555555555556,2.0,0.0,0.0,0.0,1.2380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,64.0,0.0,0.0,12.0,24.0,212.0,70.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,12.0,28.0,4.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
Baron Davis,1.6923076923076923,1.2,1.8666666666666667,0.0,0.0,0.4931506849315068,0.6428571428571429,0.6732673267326733,0.6666666666666666,0.946808510638298,0.75,0.0,0.0,0.5591397849462365,0.4,1.0,0.7272727272727273,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,176.0,12.0,28.0,0.0,0.0,36.0,18.0,68.0,76.0,267.0,3.0,0.0,0.0,52.0,2.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Gordon,1.6956521739130435,2.0,2.0,0.0,0.0,0.6133333333333333,0.7894736842105263,0.7738095238095238,0.889487870619946,1.2620689655172415,1.2000000000000002,0.0,0.0,0.6056338028169014,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,78.0,2.0,6.0,0.0,0.0,46.0,30.0,130.0,330.0,366.0,6.0,0.0,0.0,86.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
Ben Wallace,1.2857142857142858,0.0,1.6981132075471699,0.0,0.0,0.4444444444444444,0.5882352941176471,0.5,0.0,0.0,0.0,0.0,0.0,0.835820895522388,0.0,0.0,0.48,0.5,0.2857142857142857,2.0,0.0,0.0,0.0,1.1789473684210525,0.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,180.0,0.0,0.0,8.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,12.0,4.0,2.0,2.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,2.0,0.0,0.0
Beno Udrih,1.565217391304348,2.0,0.0,0.0,0.0,0.375,1.25,0.918918918918919,0.7555555555555555,0.9545454545454546,0.0,0.0,0.0,1.0196078431372548,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,0.0,0.0,0.0,6.0,10.0,34.0,34.0,42.0,0.0,0.0,0.0,52.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Simmons,1.5454545454545454,0.0,2.0,0.0,0.0,0.6206896551724138,0.7906976744186046,0.8323699421965318,0.9702970297029703,1.2906976744186047,1.5,0.0,0.0,0.9032258064516129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,18.0,0.0,0.0,18.0,34.0,144.0,196.0,222.0,3.0,0.0,0.0,112.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Boris Diaw,1.92,1.0,2.0,2.0,0.0,0.7096774193548387,0.6521739130434783,0.8296296296296296,0.9066666666666666,1.0,0.0,0.0,0.0,1.0341880341880343,0.0,1.3333333333333333,1.2,0.9090909090909091,0.5714285714285714,0.0,0.0,0.0,0.0,1.3103448275862069,0.0,0.0,0.0,2.0,2.0,0.0,144.0,2.0,64.0,2.0,0.0,44.0,30.0,112.0,136.0,12.0,0.0,0.0,0.0,242.0,0.0,4.0,54.0,10.0,4.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,2.0,2.0,0.0
Brad Miller,1.5714285714285714,2.0,1.8666666666666667,2.0,2.0,1.0574712643678161,0.8695652173913043,0.9625,0.8471337579617835,1.171875,0.0,0.0,0.0,1.1972789115646258,0.6666666666666666,0.0,1.1578947368421053,1.0,2.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,28.0,2.0,2.0,92.0,20.0,154.0,266.0,75.0,0.0,0.0,0.0,176.0,2.0,0.0,22.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Bass,0.0,0.0,2.0,0.0,0.0,0.7272727272727273,1.5,0.14285714285714285,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brendan Haywood,2.0,2.0,1.9692307692307693,0.0,2.0,0.2962962962962963,0.3,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.9256198347107438,2.0,2.0,1.1290322580645162,1.0,0.6666666666666666,2.0,0.0,0.0,0.0,1.3529411764705883,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,128.0,0.0,2.0,24.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,112.0,2.0,12.0,70.0,12.0,2.0,2.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Cardinal,2.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.8181818181818182,0.8387096774193549,0.9473684210526315,0.0,0.0,0.0,1.1304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,18.0,26.0,18.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Cook,1.6923076923076923,2.0,1.6521739130434783,0.0,0.0,0.7777777777777778,0.7142857142857143,1.0204081632653061,1.0133333333333334,1.3333333333333333,0.0,0.0,0.0,1.0571428571428572,0.0,0.0,2.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,38.0,0.0,0.0,14.0,20.0,100.0,152.0,96.0,0.0,0.0,0.0,74.0,0.0,0.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Scalabrine,1.6,0.0,2.0,0.0,0.0,0.6666666666666666,1.0,0.23529411764705882,0.676056338028169,1.163265306122449,1.5,0.0,0.0,0.9090909090909091,1.3333333333333333,0.0,0.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,48.0,57.0,6.0,0.0,0.0,20.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
