playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_24-27 Three,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_24-27 Three,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_24-27 Three
Al Harrington,1.4883720930232558,2.0,0.0,0.0,1.9545454545454546,2.0,0.0,0.49230769230769234,0.5789473684210527,0.6891891891891891,0.8926553672316384,1.2954545454545454,0.0,0.0,0.0,0.9053497942386831,0.6666666666666666,1.3333333333333333,1.5238095238095237,1.6,1.0769230769230769,1.0,0.0,0.0,0.0,1.105263157894737,2.0,0.0,0.0,0.0,0.0,0.0,64.0,2.0,0.0,0.0,86.0,4.0,0.0,32.0,22.0,102.0,158.0,285.0,0.0,0.0,0.0,220.0,4.0,4.0,32.0,8.0,14.0,2.0,0.0,0.0,0.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0
Al Jefferson,1.7391304347826086,0.0,0.0,0.0,1.9245283018867925,0.0,1.0,0.6885245901639344,0.6060606060606061,0.6857142857142857,0.7058823529411765,0.0,0.0,0.0,0.0,1.1328125,0.0,2.0,1.203125,1.3571428571428572,1.1428571428571428,0.0,0.0,0.0,0.0,1.1176470588235294,0.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,102.0,0.0,2.0,126.0,40.0,48.0,12.0,0.0,0.0,0.0,0.0,290.0,0.0,6.0,154.0,38.0,8.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2.0,0.0,0.0,0.0
Alan Anderson,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.4,0.631578947368421,0.6923076923076923,0.0,0.0,0.0,1.1818181818181819,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,12.0,9.0,0.0,0.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
Amare Stoudemire,1.8974358974358974,0.0,0.0,0.0,1.8,0.0,2.0,0.8361581920903954,0.7213114754098361,0.9929078014184397,0.8695652173913043,0.0,0.0,0.0,0.0,1.0620689655172413,0.0,1.0,1.4615384615384615,0.8888888888888888,0.4444444444444444,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,306.0,0.0,2.0,148.0,44.0,140.0,60.0,0.0,0.0,0.0,0.0,308.0,0.0,2.0,38.0,8.0,4.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,12.0,0.0,0.0,0.0
Amir Johnson,2.0,0.0,0.0,0.0,1.75,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderson Varejao,1.7142857142857142,0.0,0.0,0.0,2.0,0.0,0.0,0.18604651162790697,0.2857142857142857,0.5909090909090909,0.5333333333333333,0.0,0.0,0.0,0.0,1.135483870967742,0.0,2.0,0.8235294117647058,0.4,2.0,0.0,0.0,0.0,0.0,0.9142857142857143,0.0,0.0,1.0,2.0,0.0,0.0,36.0,0.0,0.0,0.0,50.0,0.0,0.0,8.0,2.0,26.0,8.0,0.0,0.0,0.0,0.0,176.0,0.0,8.0,28.0,2.0,2.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,2.0,2.0,0.0,0.0
Andray Blatche,1.6666666666666667,2.0,0.0,0.0,2.0,0.0,0.0,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.47058823529411764,0.5714285714285714,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,36.0,0.0,0.0,12.0,2.0,12.0,16.0,12.0,0.0,0.0,0.0,42.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Iguodala,1.7878787878787878,0.0,0.0,0.0,1.9285714285714286,0.0,0.0,0.3684210526315789,0.5,0.6470588235294118,0.7257383966244726,1.027027027027027,0.0,0.0,0.0,0.7071823204419889,2.0,0.0,1.2,1.6,1.4285714285714286,2.0,0.0,0.0,0.0,1.8709677419354838,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,162.0,0.0,0.0,14.0,20.0,110.0,172.0,114.0,0.0,0.0,0.0,128.0,2.0,0.0,6.0,8.0,10.0,2.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Miller,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,2.0,0.8764044943820225,0.6746987951807228,0.8475836431226765,0.8333333333333334,0.6000000000000001,0.0,0.0,0.0,0.9743589743589743,1.0,0.0,0.8888888888888888,0.4,1.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,2.0,78.0,56.0,228.0,90.0,12.0,0.0,0.0,0.0,190.0,2.0,0.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Bargnani,1.1428571428571428,0.0,0.0,0.0,1.5789473684210527,0.0,0.0,0.26666666666666666,0.7,0.8852459016393442,0.9166666666666666,1.1439688715953307,0.0,0.0,0.0,1.04,0.0,0.0,0.6,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,40.0,0.0,0.0,0.0,30.0,0.0,0.0,4.0,14.0,54.0,110.0,294.0,0.0,0.0,0.0,52.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0
