playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Pullup_00-02 At Rim,PPS_Pullup_03-08 Near Rim,PPS_Pullup_09-12 Short Range,PPS_Pullup_13-17 Mid Range,PPS_Pullup_18-23 Long Jumper,PPS_Pullup_24-27 Three,PPS_Pullup_28-34 Deep,PPS_Pullup_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,PPS_invalid_24-27 Three,PPS_invalid_28-34 Deep,PPS_invalid_35-46 Near Half,PPS_invalid_47-94 Backcourt,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Pullup_00-02 At Rim,Points_Pullup_03-08 Near Rim,Points_Pullup_09-12 Short Range,Points_Pullup_13-17 Mid Range,Points_Pullup_18-23 Long Jumper,Points_Pullup_24-27 Three,Points_Pullup_28-34 Deep,Points_Pullup_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_18-23 Long Jumper,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper,Points_invalid_24-27 Three,Points_invalid_28-34 Deep,Points_invalid_35-46 Near Half,Points_invalid_47-94 Backcourt
Aaron Brooks,1.1923076923076923,1.0,0.0,0.0,0.0,0.0,0.0,0.6388888888888888,0.6222222222222222,0.6923076923076923,0.8979591836734694,1.0956521739130434,0.9375,0.0,0.0,0.6336633663366337,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.25,2.0,1.5,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,2.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,6.0,0.0,0.0,0.0,0.0,0.0,46.0,28.0,36.0,88.0,252.0,15.0,0.0,0.0,64.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,8.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Gray,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.9090909090909091,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,1.1111111111111112,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acie Law,1.3333333333333333,1.5,0.0,0.0,2.0,0.0,0.0,0.8,0.2857142857142857,0.2727272727272727,0.8,0.631578947368421,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,6.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,6.0,20.0,12.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Harrington,1.5454545454545454,2.0,0.0,0.0,2.0,0.0,0.0,0.5283018867924528,0.5833333333333334,0.7207207207207207,0.776595744680851,1.1027027027027028,0.6000000000000001,0.0,0.0,0.8476190476190476,0.6666666666666666,0.0,1.1578947368421053,1.1111111111111112,0.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,3.0,0.0,0.0,1.2380952380952381,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,2.0,0.0,0.0,36.0,0.0,0.0,28.0,28.0,80.0,146.0,408.0,3.0,0.0,0.0,178.0,2.0,0.0,22.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,6.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,1.8571428571428572,1.0,0.0,0.0,1.7538461538461538,0.0,0.0,0.6792452830188679,0.8181818181818182,0.8349514563106796,1.0222222222222221,0.0,0.0,0.0,0.0,1.1578947368421053,1.3333333333333333,0.0,1.0136986301369864,0.926829268292683,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,114.0,0.0,0.0,36.0,36.0,86.0,46.0,0.0,0.0,0.0,0.0,88.0,12.0,0.0,74.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Jefferson,1.7391304347826086,0.0,0.0,0.0,1.7837837837837838,0.0,0.0,0.6064516129032258,0.7435897435897436,0.7037037037037037,0.7441860465116279,0.0,0.0,0.0,0.0,1.1307692307692307,0.0,1.3333333333333333,1.411764705882353,1.0526315789473684,1.2941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3191489361702127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,66.0,0.0,0.0,94.0,58.0,114.0,32.0,0.0,0.0,0.0,0.0,294.0,0.0,4.0,120.0,60.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Thornton,1.6923076923076923,0.5,0.0,0.0,1.8666666666666667,0.0,0.0,0.6575342465753424,0.41379310344827586,0.6826347305389222,0.7532467532467533,0.84375,1.5,0.0,0.0,0.9019607843137255,1.0,0.0,1.7142857142857142,0.9166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.2380952380952381,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,2.0,0.0,0.0,84.0,0.0,0.0,48.0,24.0,114.0,174.0,54.0,3.0,0.0,0.0,184.0,4.0,0.0,24.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Ajinca,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.6666666666666666,0.5,0.5333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,8.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amare Stoudemire,1.641025641025641,1.5,0.0,0.0,1.836734693877551,0.0,0.0,0.8376068376068376,0.75,0.972972972972973,0.85,1.5,0.0,0.0,0.0,0.881578947368421,1.0,2.0,1.3636363636363635,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2413793103448276,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,6.0,0.0,0.0,180.0,0.0,0.0,98.0,24.0,108.0,102.0,9.0,0.0,0.0,0.0,134.0,2.0,2.0,30.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Johnson,2.0,0.0,0.0,0.0,1.9047619047619047,0.0,0.0,0.5,1.5,0.6666666666666666,0.8235294117647058,0.0,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.9333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4883720930232558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,2.0,6.0,4.0,14.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
