playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_18-23 Long Jumper,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Pullup_00-02 At Rim,PPS_Pullup_03-08 Near Rim,PPS_Pullup_09-12 Short Range,PPS_Pullup_13-17 Mid Range,PPS_Pullup_18-23 Long Jumper,PPS_Pullup_24-27 Three,PPS_Pullup_28-34 Deep,PPS_Pullup_35-46 Near Half,PPS_Pullup_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,PPS_invalid_24-27 Three,PPS_invalid_28-34 Deep,PPS_invalid_35-46 Near Half,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_18-23 Long Jumper,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Pullup_00-02 At Rim,Points_Pullup_03-08 Near Rim,Points_Pullup_09-12 Short Range,Points_Pullup_13-17 Mid Range,Points_Pullup_18-23 Long Jumper,Points_Pullup_24-27 Three,Points_Pullup_28-34 Deep,Points_Pullup_35-46 Near Half,Points_Pullup_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper,Points_invalid_24-27 Three,Points_invalid_28-34 Deep,Points_invalid_35-46 Near Half
AJ Price,1.6551724137931034,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.9,0.7804878048780488,0.5416666666666666,1.0970149253731343,0.0,0.0,0.0,0.7741935483870968,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.2,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,32.0,26.0,147.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Brooks,1.1630434782608696,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7605633802816901,0.8169014084507042,0.6909090909090909,0.8085106382978723,1.163727959697733,0.8333333333333334,0.0,0.0,0.7320261437908496,2.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.3333333333333333,1.2307692307692308,1.2258064516129032,1.0526315789473684,1.8620689655172415,3.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,1.6,2.0,0.0,0.0,0.0,0.0,214.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,76.0,152.0,462.0,15.0,0.0,0.0,112.0,2.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,16.0,38.0,20.0,54.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0
Aaron Gray,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,1.0810810810810811,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acie Law,1.619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.8181818181818181,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Harrington,1.6551724137931034,1.0,0.0,0.0,0.0,1.894736842105263,0.0,0.0,0.5098039215686274,0.4827586206896552,0.6756756756756757,0.6708074534161491,1.0348101265822784,0.0,0.0,1.5,0.8808290155440415,2.0,0.0,1.1111111111111112,1.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,2.0,0.0,0.0,0.0,36.0,0.0,0.0,26.0,14.0,50.0,108.0,327.0,0.0,0.0,3.0,170.0,4.0,0.0,10.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,1.5,1.0,0.0,0.0,0.0,1.9696969696969697,0.0,0.0,0.6133333333333333,0.72,0.9811320754716981,0.875,0.0,0.0,0.0,0.0,1.171875,2.0,0.0,1.0945945945945945,0.6111111111111112,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4216867469879517,1.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.0,0.0,0.0,0.0,130.0,0.0,0.0,46.0,36.0,156.0,42.0,0.0,0.0,0.0,0.0,150.0,2.0,0.0,162.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Jefferson,1.5172413793103448,1.3333333333333333,0.0,0.0,0.0,1.7714285714285714,2.0,0.0,0.9135802469135802,0.6415094339622641,0.6033519553072626,0.5945945945945946,0.0,0.0,0.0,0.0,1.264,2.0,0.0,1.188118811881188,1.0425531914893618,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,0.0,0.0,0.0,62.0,2.0,0.0,148.0,102.0,108.0,22.0,0.0,0.0,0.0,0.0,316.0,2.0,0.0,120.0,98.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Thornton,1.8,0.0,0.0,0.0,0.0,1.7777777777777777,0.0,0.0,0.4864864864864865,0.7317073170731707,0.5112781954887218,0.8721804511278195,1.0434782608695652,0.0,1.0,0.0,1.0952380952380953,0.0,0.0,1.5,1.3333333333333333,1.1666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6666666666666666,3.0,0.0,0.0,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,18.0,30.0,68.0,116.0,24.0,0.0,3.0,0.0,184.0,0.0,0.0,18.0,16.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Ajinca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonzo Gee,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2857142857142857,0.0,1.0,1.0,2.25,3.0,0.0,0.0,0.2222222222222222,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,4.0,6.0,9.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
